title,price,writer,publisher,time,page_weight_cm,isbn13,isbn10
90년생이 온다,"14,000원",임홍택,웨일북,2018년 11월 16일,336쪽 | 450g | 145*210*30mm,9791188248674,1188248677
마케팅이다,"18,000원",세스 고딘,쌤앤파커스,2019년 03월 27일,368쪽 | 538g | 135*190*33mm,9788965707820,896570782X
포노 사피엔스,"16,800원",최재붕,쌤앤파커스,2019년 03월 11일,336쪽 | 578g | 152*224*19mm,9788965707691,8965707692
명견만리 공존의 시대 편,"15,800원",KBS 명견만리 제작팀,인플루엔셜,2019년 02월 25일,316쪽 | 600g | 152*225*19mm,9791186560976,1186560975
리테일의 미래,"16,800원",황지영,인플루엔셜,2019년 04월 12일,308쪽 | 576g | 152*225*19mm,9791189995034,1189995034
브랜드가 되어간다는 것,"15,000원",강민호,턴어라운드,2019년 04월 02일,282쪽 | 373g | 127*188*17mm,9791196372156,1196372152
공간은 경험이다,"15,000원",이승윤,북스톤,2019년 03월 25일,240쪽 | 411g | 152*215*14mm,9791187289524,1187289523
트렌드 코리아 2019,"17,000원",김난도,미래의창,2018년 10월 24일,432쪽 | 682g | 152*225*30mm,9788959895526,8959895520
스마트스토어(스토어팜) 마케팅,"17,000원",임헌수,이코노믹북스,2018년 04월 12일,340쪽 | 626g | 152*225*20mm,9788957751848,895775184X
수소전기차 시대가 온다,"18,000원",권순우,가나출판사,2019년 04월 25일,304쪽 | 467g | 152*225*19mm,9788957369159,8957369155
생각정리 기획력,"14,000원",복주환,천그루숲,2019년 04월 30일,248쪽 | 435g | 153*224*15mm,9791188348411,1188348418
된다! 네이버 블로그 & 포스트,"15,000원",황윤정,이지스퍼블리싱,2019년 02월 15일,328쪽 | 188*257*30mm,9791163030515,1163030511
페이스북 인스타그램 통합 마케팅,"23,000원",임헌수,이코노믹북스,2018년 11월 21일,432쪽 | 784g | 152*225*30mm,9788957751923,8957751920
모두 거짓말을 한다,"18,000원",세스 스티븐스 다비도위츠,더퀘스트,2018년 06월 17일,359쪽 | 522g | 150*215*20mm,9791160504576,1160504571
AI 2045 인공지능 미래보고서,"15,000원",일본경제신문사,반니,2019년 03월 08일,252쪽 | 430g | 148*218*15mm,9791189653057,1189653052
쇼더플랜,"7,500원",돈 페일러,에스북,2017년 12월 18일,180쪽 | 128*188*20mm,9791195813865,1195813864
그냥 그렇게 살다가 갈거라고?,"5,500원",최병철,엔타임,2010년 07월 05일,104쪽 | 177g | 128*188*20mm,9788994484037,8994484035
모두의 데이터 분석 with 파이썬,"18,000원",송석리,길벗,2019년 04월 25일,308쪽 | 183*235*18mm,9791160507812,1160507813
미래학자의 통찰의 기술,"19,800원",최윤식,김영사,2019년 04월 10일,652쪽 | 854g | 145*215*35mm,9788934995142,8934995149
나는 감이 아니라 데이터로 말한다,"15,800원",신현호,한겨레출판,2019년 02월 26일,272쪽 | 447g | 152*210*16mm,9791160402339,1160402337
진정성 마케팅,"16,000원",김상훈,21세기북스,2019년 03월 25일,264쪽 | 345g | 128*188*17mm,9788950980320,8950980320
초연결사회의 탄생,"18,000원",김정섭,위키미디어,2019년 05월 09일,440쪽 | 152*210*20mm,9791189989002,118998900X
스타벅스 웨이,"16,800원",조셉 미첼리,현대지성,2019년 02월 15일,336쪽 | 572g | 150*225*19mm,9791187142706,1187142700
도쿄의 디테일 ,"15,800원",생각노트,bookbyPUBLY(북바이퍼블리),2018년 11월 30일,288쪽 | 532g | 148*217*18mm,9791162339831,1162339837
STICK 스틱!,"15,000원",칩 히스,엘도라도,2009년 08월 03일,448쪽 | 669g | 153*224*30mm,9788901098272,890109827X
컨테이저스 전략적 입소문,"16,000원",조나 버거,문학동네,2013년 09월 26일,368쪽 | 598g | 145*210*30mm,9788954622431,8954622437
네트워크 마케팅은 트렌드다,"5,000원",백금기,에스북,2017년 06월 30일,112쪽 | 128*188mm,9791195813841,1195813848
네트워크마케팅 초기사업자 행동백서,"9,000원",도서출판 라인,라인(LINE),2015년 09월 25일,175쪽 | 286g | 136*215*20mm,9791195570836,119557083X
마케터의 여행법,"15,000원",김석현(김투몽),북스톤,2019년 01월 15일,264쪽 | 438g | 152*215*20mm,9791187289500,1187289507
구글 애드센스 마케팅,"16,000원",윤중훈,경향비피,2019년 03월 06일,268쪽 | 508g | 165*225*16mm,9788969523297,8969523294
미치도록 팔고 싶다,"14,000원",안서현,이코노믹북스,2019년 02월 11일,280쪽 | 495g | 150*220*18mm,9788957751947,8957751947
좋아 보이는 것들의 비밀,"15,000원",이랑주,인플루엔셜,2016년 04월 11일,280쪽 | 494g | 152*215*20mm,9791186560112,1186560118
증상으로 본 건강식품 호전반응,"7,500원",홍동주,아름다운사회,2013년 07월 25일,117쪽 | 176g | 152*223*20mm,9788957931783,8957931783
영업의 神신 100법칙,"14,700원",하야카와 마사루,지상사,2019년 05월 02일,232쪽 | 401g | 148*210*19mm,9788965022879,8965022878
AI 슈퍼파워,"18,000원",리카이푸,이콘,2019년 04월 03일,424쪽 | 701g | 153*214*25mm,9791189318109,1189318105
오토노미 제2의 이동 혁명,"22,000원",로렌스 번스,비즈니스북스,2019년 03월 31일,536쪽 | 782g | 152*225*25mm,9791162540732,1162540737
스마트스토어 상위노출 전략,"16,000원",최광종,e비즈북스,2019년 04월 30일,272쪽 | 464g | 152*225*13mm,9791157831456,1157831451
브랜드 ; 짓다,"16,000원",민은정,리더스북,2019년 03월 10일,280쪽 | 557g | 145*215*20mm,9788901230252,8901230259
2019 ICT 트렌드 - 크로스 테크놀로지의 시대가 온다,"16,500원",크로스테크랩,한스미디어,2018년 10월 26일,344쪽 | 616g | 152*225*30mm,9791160073225,1160073228
유튜브 레볼루션,"18,000원",로버트 킨슬,더퀘스트,2018년 08월 06일,351쪽 | 640g | 152*225*24mm,9791160505177,1160505179
마케터의 일,"14,000원",장인성,북스톤,2018년 04월 05일,223쪽 | 258g | 128*188*18mm,9791187289319,1187289310
어떻게 팔지 답답할 때 읽는 마케팅 책,"15,000원",리처드 쇼튼,비즈니스북스,2019년 01월 18일,280쪽 | 506g | 152*225*20mm,9791162540572,1162540575
생각이 돈이 되는 순간,"16,000원",앨런 가넷,알에이치코리아(RHK),2018년 12월 20일,356쪽 | 580g | 145*215*30mm,9788925565163,8925565161
변하는 것과 변하지 않는 것,"16,000원",강민호,턴어라운드,2018년 06월 01일,264쪽 | 450g | 148*210*16mm,9791196372101,1196372101
결과로 말하는 고수들의 실전 SNS,"15,000원",정진수,나비의활주로,2019년 05월 01일,264쪽 | 472g | 150*215*15mm,9791188230679,1188230670
사고 싶은 컬러 팔리는 컬러,"16,000원",이호정,라온북,2019년 04월 25일,368쪽 | 636g | 150*220*19mm,9791189089818,1189089815
데이터 분석의 힘 ,"14,800원",이토 고이치로,인플루엔셜,2018년 08월 31일,242쪽 | 425g | 148*210*16mm,9791186560792,1186560797
크러싱 잇! SNS로 부자가 된 사람들,"17,000원",게리 바이너척,천그루숲,2019년 04월 20일,344쪽 | 594g | 153*224*20mm,9791188348398,1188348396
ABOUT H 대한민국 행복 리포트 2019,"16,000원",최인철,21세기북스,2019년 04월 15일,168쪽 | 372g | 170*240*10mm,9788950980702,8950980703
누구나 쉽게 따라하는 블로그마케팅,"14,500원",이기용,예문사,2019년 03월 05일,264쪽 | 188*257*20mm,9788927430148,892743014X
된다! 포토샵 & 일러스트레이터 CC 2019,"16,000원",박길현,이지스퍼블리싱,2018년 12월 12일,368쪽 | 766g | 188*257*15mm,9791163030393,1163030392
SNS 마케팅 디자인 무작정 따라하기,"16,000원",신희정,길벗,2018년 08월 27일,284쪽 | 564g | 170*225*12mm,9791160505368,1160505365
네트워크 마케팅 사업을 쉽고 빠르게 성장시키는 방법,"13,000원",랜디 게이지,유니크커뮤니케이션,2017년 03월 13일,298쪽 | 376g | 135*215*15mm,9791195445042,1195445040
엑스브레인 쇼핑몰 성공법,"20,000원",엑스브레인,진서원,2019년 03월 18일,320쪽 | 810g | 188*257*30mm,9791186647264,1186647264
상식 밖의 경제학 (10주년 기념 리커버 에디션),"17,000원",댄 애리얼리,청림출판,2018년 10월 18일,334쪽 | 662g | 148*215*24mm,9788935212323,8935212326
무기가 되는 스토리,"14,800원",도널드 밀러,윌북(willbook),2018년 09월 30일,239쪽 | 389g | 146*216*16mm,9791155811856,1155811852
브랜드 마케터들의 이야기,"15,800원",이승희,bookbyPUBLY(북바이퍼블리),2018년 07월 24일,447쪽 | 747g | 148*217*28mm,9791162335802,1162335807
한국사회 최고의 기회,"5,500원",김태수,엔타임,2007년 05월 21일,48쪽 | 128g | 128*188*15mm,9788991424210,899142421X
신뢰 이동,"16,000원",레이첼 보츠먼,흐름출판,2019년 03월 29일,448쪽 | 675g | 152*225*28mm,9788965963042,8965963044
네트워크마케팅 유통의 판을 바꾸다,"4,500원",도서출판 라인,라인(LINE),2015년 11월 30일,99쪽 | 105*208*15mm,9791195570843,1195570848
당신의 세포가 녹슬어가고 있다,"5,500원",강영환,아름다운사회,2008년 05월 30일,112쪽 | 160g | 128*188*20mm,9788957931516,8957931511
"요즘 애들, 요즘 어른들","17,000원",김용섭,21세기북스,2019년 04월 29일,316쪽 | 148*210*30mm,9788950980870,8950980878
끌리는 아이디어의 비밀,"23,000원",신호진,성안당,2019년 04월 25일,352쪽 | 762g | 180*230*20mm,9788931587968,8931587961
당신의 미래에 던지는 빅 퀘스천 10,"16,000원",이영탁,한국경제신문사(한경비피),2019년 04월 19일,324쪽 | 524g | 150*212*18mm,9788947544665,8947544663
2019 한국이 열광할 세계 트렌드,"23,000원",KOTRA,알키,2018년 10월 25일,504쪽 | 954g | 153*224*35mm,9788952794185,8952794184
의료 인공지능,"20,000원",최윤섭,클라우드나인,2018년 06월 25일,456쪽 | 638g | 152*225*30mm,9791186269992,1186269995
포지셔닝 POSITIONING,"12,000원",잭 트라우트,을유문화사,2006년 11월 30일,267쪽 | 542g | 185*207*20mm,9788932471136,8932471134
네이버 스마트스토어 실전 마케팅,"17,000원",최재혁,다온북스,2019년 03월 29일,316쪽 | 480g | 152*225*19mm,9791185439044,1185439048
유튜브 마케팅 혁명,"20,000원",민진홍,매일경제신문사,2019년 01월 25일,364쪽 | 528g | 152*225*30mm,9791155429426,1155429427
OBM 설득마케팅,"12,000원",김효석,일월일일,2017년 07월 20일,205쪽 | 278g | 130*188*14mm,9791196139605,1196139601
한마디면 충분하다,"16,000원",장문정,쌤앤파커스,2017년 05월 10일,336쪽 | 497g | 153*224*16mm,9788965704539,8965704537
똑똑한 사람들의 멍청한 선택,"22,000원",리처드 H. 탈러(리처드 세일러),리더스북,2016년 01월 15일,628쪽 | 828g | 145*210*35mm,9788901205953,8901205955
마케팅 불변의 법칙,"12,800원",알 리스,비즈니스맵,2008년 12월 01일,240쪽 | 606g | 153*224*20mm,9788962600568,8962600560
블록체인 혁명,"23,000원",돈 탭스코트,을유문화사,2018년 12월 25일,660쪽 | 948g | 152*224*35mm,9788932473970,8932473978
30분 통계학,"15,000원",구라타 히로시,길벗,2018년 10월 20일,272쪽 | 464g | 148*210*20mm,9791160505948,1160505942
모바일 트렌드 2019 ,"16,000원",커넥팅랩,미래의창,2018년 10월 20일,312쪽 | 572g | 152*225*30mm,9788959895533,8959895539
구글 애드워즈 마케팅,"13,000원",박영훈,경향비피,2018년 06월 21일,210쪽 | 418g | 165*225*13mm,9788969522528,8969522522
기적의 7초 고객 서비스,"17,000원",장한별,위닝북스,2017년 08월 23일,248쪽 | 360g | 150*210*15mm,9791187532866,118753286X
혼자서도 할 수 있는 블로그 마케팅,"14,400원",유성철,앤써북,2017년 08월 21일,296쪽 | 540g | 152*225*20mm,9788996873983,8996873985
핑크펭귄,"15,000원",빌 비숍,스노우폭스북스,2017년 02월 17일,284쪽 | 461g | 172*175*18mm,9791195936380,1195936389
블록체인 해설서,"19,500원",이병욱,에이콘출판사,2019년 02월 28일,352쪽 | 188*235*20mm,9791161752709,1161752706
"크리에이터의 시대, 2019 SNS 트렌드를 읽다   ","14,000원",정진수,천그루숲,2018년 11월 30일,250쪽 | 438g | 153*224*20mm,9791188348282,1188348280
트렌드 MZ 2019,"17,000원",대학내일20대연구소,한빛비즈,2018년 11월 20일,344쪽 | 802g | 176*243*30mm,9791157843039,1157843034
드위트리 스토리,"16,000원",하대석,혜화동,2018년 09월 27일,301쪽 | 533g | 153*225*18mm,9791196205669,1196205663
아무도 알려주지 않은 4차 산업혁명 이야기,"16,000원",강명구,키출판사,2018년 05월 23일,272쪽 | 298g | 128*188*16mm,9791188808274,1188808273
따라하면 매출이 따라오는 인스타그램 마케팅,"14,000원",양성길,원앤원북스,2018년 04월 02일,219쪽 | 418g | 153*225*15mm,9791196341824,1196341826
카피 공부,"14,800원",핼 스테빈스,윌북(willbook),2018년 03월 01일,304쪽 | 360g | 120*188*25mm,9791155811474,115581147X
그 매장은 어떻게 매출을 두 배로 올렸나,"15,000원",이춘재,갈매나무,2017년 06월 26일,232쪽 | 356g | 145*225*15mm,9788993635836,8993635838
카피캣 마케팅 101,"7,000원",버크 헤지스,에스북,2017년 05월 08일,128쪽 | 128*188*15mm,9791195813803,1195813805
나음보다 다름,"16,000원",홍성태,북스톤,2015년 05월 01일,284쪽 | 536g | 152*224*20mm,9791195463824,1195463820
네트워크마케팅 보상플랜 알아보기,"11,000원",김세우,KSS(케이에스에스),2019년 04월 29일,144쪽 | 152*225*20mm,9788997942268,8997942263
그놈의 마케팅,"13,800원",신영웅,넥서스BIZ,2019년 03월 12일,256쪽 | 338g | 140*200*18mm,9791161656021,1161656022
디스 이즈 브랜딩,"17,000원",김지헌,턴어라운드,2019년 03월 04일,328쪽 | 560g | 148*218*20mm,9791196372149,1196372144
최강소비권력 Z세대가 온다,"15,800원",제프 프롬,홍익출판사,2018년 12월 18일,216쪽 | 372g | 140*200*20mm,9788970656656,8970656650
"생초보, 인스타그램 하루 만에 끝장내기","15,000원",김서현,라온북,2018년 11월 15일,221쪽 | 340g | 140*210*20mm,9791189089474,1189089475
매출 100배 올리는 유통 마케팅 비법,"17,000원",유노연,중앙경제평론사,2018년 09월 27일,374쪽 | 560g | 153*225*20mm,9788960542082,8960542083
인구 전쟁 2045,"16,000원",KAIST 문술미래전략대학원/미래전략연구센터,크리에이터출판사,2018년 03월 12일,335쪽 | 492g | 152*225*18mm,9791196328207,119632820X
(문고판) 4차 산업 혁명의 충격,"8,900원",클라우스 슈밥,흐름출판,2018년 02월 15일,322쪽 | 388g | 128*188*20mm,9788965962571,8965962579
처음부터 다시 배우는 서비스 디자인 씽킹 ,"23,000원",배성환,한빛미디어,2017년 06월 01일,372쪽 | 535g | 153*223*16mm,9788968487880,896848788X
